  CALL    scripts/checksyscalls.sh
  CC [M]  lib/raid6/recov_neon_inner.o
  TABLE   lib/raid6/tables.c
  CC [M]  lib/raid6/int1.o
  CC [M]  fs/btrfs/extent_map.o
  CC [M]  lib/raid6/int2.o
  CC [M]  fs/btrfs/sysfs.o
  CC [M]  lib/raid6/int4.o
  CC [M]  lib/raid6/int8.o
  CC [M]  fs/btrfs/struct-funcs.o
  CC [M]  lib/raid6/int16.o
  CC [M]  lib/raid6/int32.o
  CC [M]  fs/btrfs/xattr.o
  CC [M]  lib/raid6/neon1.o
  CC [M]  lib/raid6/neon2.o
  CC [M]  fs/btrfs/ordered-data.o
  CC [M]  lib/raid6/neon4.o
  CC [M]  lib/raid6/neon8.o
  CC [M]  lib/raid6/tables.o
  CC [M]  fs/btrfs/extent_io.o
  LD [M]  lib/raid6/raid6_pq.o
  CC [M]  lib/crc-ccitt.o
  CC [M]  lib/libcrc32c.o
  CC [M]  drivers/bus/mhi/host/init.o
  CC [M]  drivers/bus/mhi/host/main.o
  CC [M]  fs/btrfs/volumes.o
  CC [M]  drivers/bus/mhi/host/pm.o
  CC [M]  drivers/bus/mhi/host/boot.o
  LD [M]  drivers/bus/mhi/host/mhi.o
  CC [M]  drivers/phy/allwinner/phy-sun6i-mipi-dphy.o
  CC [M]  fs/btrfs/async-thread.o
  CC [M]  drivers/phy/cadence/phy-cadence-torrent.o
  CC [M]  fs/btrfs/ioctl.o
  CC [M]  drivers/phy/cadence/phy-cadence-sierra.o
  CC [M]  drivers/phy/qualcomm/phy-qcom-usb-hs.o
  CC [M]  fs/btrfs/locking.o
  CC [M]  drivers/gpio/gpio-altera.o
  CC [M]  drivers/gpio/gpio-bd9571mwv.o
  CC [M]  fs/btrfs/orphan.o
  CC [M]  drivers/gpio/gpio-wcd934x.o
  CC [M]  fs/btrfs/export.o
  CC [M]  drivers/pwm/pwm-cros-ec.o
  CC [M]  fs/btrfs/tree-log.o
  CC [M]  drivers/pwm/pwm-sun4i.o
  CC [M]  drivers/pci/endpoint/functions/pci-epf-test.o
  CC [M]  drivers/pci/controller/dwc/pci-meson.o
  CC [M]  drivers/video/backlight/lp855x_bl.o
  CC [M]  fs/btrfs/free-space-cache.o
  CC [M]  drivers/video/backlight/pwm_bl.o
  CC [M]  drivers/video/fbdev/core/cfbfillrect.o
  CC [M]  fs/btrfs/zlib.o
  CC [M]  drivers/video/fbdev/core/cfbcopyarea.o
  CC [M]  fs/btrfs/lzo.o
  CC [M]  drivers/video/fbdev/core/cfbimgblt.o
  CC [M]  fs/btrfs/zstd.o
  CC [M]  drivers/char/ipmi/ipmi_msghandler.o
  CC [M]  fs/btrfs/compression.o
  CC [M]  fs/btrfs/delayed-ref.o
  CC [M]  drivers/char/ipmi/ipmi_devintf.o
  CC [M]  fs/btrfs/relocation.o
  CC [M]  drivers/char/ipmi/ipmi_si_intf.o
  CC [M]  drivers/char/ipmi/ipmi_kcs_sm.o
  CC [M]  drivers/char/ipmi/ipmi_smic_sm.o
  CC [M]  fs/btrfs/delayed-inode.o
  CC [M]  drivers/char/ipmi/ipmi_bt_sm.o
  CC [M]  drivers/char/ipmi/ipmi_si_hotmod.o
  CC [M]  fs/btrfs/scrub.o
  CC [M]  drivers/char/ipmi/ipmi_si_hardcode.o
  CC [M]  drivers/char/ipmi/ipmi_si_platform.o
  CC [M]  drivers/char/ipmi/ipmi_si_port_io.o
  CC [M]  drivers/char/ipmi/ipmi_si_mem_io.o
  CC [M]  fs/btrfs/backref.o
  CC [M]  drivers/char/ipmi/ipmi_si_pci.o
  LD [M]  drivers/char/ipmi/ipmi_si.o
  CC [M]  drivers/clk/clk-bd718x7.o
  CC [M]  fs/btrfs/ulist.o
  CC [M]  drivers/dma/bcm-sba-raid.o
  CC [M]  fs/btrfs/qgroup.o
  CC [M]  drivers/dma/sun6i-dma.o
  CC [M]  drivers/xen/xen-pciback/pci_stub.o
  CC [M]  fs/btrfs/send.o
  CC [M]  drivers/xen/xen-pciback/pciback_ops.o
  CC [M]  drivers/xen/xen-pciback/xenbus.o
  CC [M]  drivers/xen/xen-pciback/conf_space.o
  CC [M]  drivers/xen/xen-pciback/conf_space_header.o
  CC [M]  fs/btrfs/dev-replace.o
  CC [M]  drivers/xen/xen-pciback/conf_space_capability.o
  CC [M]  fs/btrfs/raid56.o
  CC [M]  drivers/xen/xen-pciback/conf_space_quirks.o
  CC [M]  drivers/xen/xen-pciback/vpci.o
  CC [M]  drivers/xen/xen-pciback/passthrough.o
  CC [M]  fs/btrfs/uuid-tree.o
  LD [M]  drivers/xen/xen-pciback/xen-pciback.o
  CC [M]  drivers/regulator/tps65132-regulator.o
  CC [M]  fs/btrfs/props.o
  CC [M]  drivers/regulator/vctrl-regulator.o
  CC [M]  fs/btrfs/free-space-tree.o
  CC [M]  drivers/char/hw_random/core.o
  CC [M]  fs/btrfs/tree-checker.o
  CC [M]  drivers/char/hw_random/optee-rng.o
  CC [M]  drivers/char/hw_random/arm_smccc_trng.o
  CC [M]  drivers/char/hw_random/cn10k-rng.o
  CC [M]  fs/btrfs/space-info.o
  LD [M]  drivers/char/hw_random/rng-core.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_drv.o
  CC [M]  fs/btrfs/block-rsv.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_dev.o
  CC [M]  fs/btrfs/delalloc-space.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_format_caps.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_color_mgmt.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_pipeline.o
  CC [M]  fs/btrfs/block-group.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_pipeline_state.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_framebuffer.o
  CC [M]  fs/btrfs/discard.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_kms.o
  CC [M]  fs/btrfs/reflink.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_crtc.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_plane.o
  CC [M]  fs/btrfs/subpage.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_wb_connector.o
  CC [M]  fs/btrfs/tree-mod-log.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_private_obj.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/komeda_event.o
  CC [M]  fs/btrfs/extent-io-tree.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/d71/d71_dev.o
  CC [M]  fs/btrfs/acl.o
  CC [M]  drivers/gpu/drm/arm/display/komeda/d71/d71_component.o
  LD [M]  fs/btrfs/btrfs.o
  LD [M]  drivers/gpu/drm/arm/display/komeda/komeda.o
  CC [M]  drivers/gpu/drm/arm/hdlcd_drv.o
  CC [M]  sound/soc/codecs/adau7002.o
  CC [M]  sound/soc/codecs/ak4613.o
  CC [M]  drivers/gpu/drm/arm/hdlcd_crtc.o
  CC [M]  drivers/gpu/drm/arm/malidp_drv.o
  CC [M]  sound/soc/codecs/cros_ec_codec.o
  CC [M]  sound/soc/codecs/dmic.o
  CC [M]  drivers/gpu/drm/arm/malidp_hw.o
  CC [M]  sound/soc/codecs/es7134.o
  CC [M]  drivers/gpu/drm/arm/malidp_planes.o
  CC [M]  sound/soc/codecs/es7241.o
  CC [M]  sound/soc/codecs/gtm601.o
  CC [M]  drivers/gpu/drm/arm/malidp_crtc.o
  CC [M]  sound/soc/codecs/max98357a.o
  CC [M]  drivers/gpu/drm/arm/malidp_mw.o
  CC [M]  sound/soc/codecs/max98927.o
  LD [M]  drivers/gpu/drm/arm/hdlcd.o
  LD [M]  drivers/gpu/drm/arm/mali-dp.o
  CC [M]  drivers/gpu/drm/display/drm_dp_aux_bus.o
  CC [M]  sound/soc/codecs/msm8916-wcd-analog.o
  CC [M]  drivers/gpu/drm/display/drm_display_helper_mod.o
  CC [M]  drivers/gpu/drm/display/drm_dp_dual_mode_helper.o
  CC [M]  sound/soc/codecs/msm8916-wcd-digital.o
  CC [M]  drivers/gpu/drm/display/drm_dp_helper.o
  CC [M]  sound/soc/codecs/nau8822.o
  CC [M]  sound/soc/codecs/hdmi-codec.o
  CC [M]  drivers/gpu/drm/display/drm_dp_mst_topology.o
  CC [M]  sound/soc/codecs/pcm3168a.o
  CC [M]  sound/soc/codecs/pcm3168a-i2c.o
  CC [M]  sound/soc/codecs/rl6231.o
  CC [M]  sound/soc/codecs/rt5659.o
  CC [M]  drivers/gpu/drm/display/drm_dsc_helper.o
  CC [M]  drivers/gpu/drm/display/drm_hdcp_helper.o
  CC [M]  sound/soc/codecs/sgtl5000.o
  CC [M]  drivers/gpu/drm/display/drm_hdmi_helper.o
  CC [M]  sound/soc/codecs/spdif_receiver.o
  CC [M]  drivers/gpu/drm/display/drm_scdc_helper.o
  CC [M]  sound/soc/codecs/spdif_transmitter.o
  LD [M]  drivers/gpu/drm/display/drm_display_helper.o
  CC [M]  drivers/gpu/drm/rcar-du/rcar_dw_hdmi.o
  CC [M]  sound/soc/codecs/tas571x.o
  CC [M]  drivers/gpu/drm/i2c/ch7006_drv.o
  CC [M]  sound/soc/codecs/tlv320aic31xx.o
  CC [M]  drivers/gpu/drm/i2c/ch7006_mode.o
  CC [M]  drivers/gpu/drm/i2c/sil164_drv.o
  CC [M]  sound/soc/codecs/tlv320aic32x4.o
  CC [M]  drivers/gpu/drm/i2c/tda998x_drv.o
  CC [M]  sound/soc/codecs/tlv320aic32x4-clk.o
  CC [M]  sound/soc/codecs/tlv320aic32x4-i2c.o
  LD [M]  drivers/gpu/drm/i2c/ch7006.o
  LD [M]  drivers/gpu/drm/i2c/sil164.o
  LD [M]  drivers/gpu/drm/i2c/tda998x.o
  CC [M]  drivers/gpu/drm/panel/panel-boe-tv101wum-nl6.o
  CC [M]  sound/soc/codecs/wcd-mbhc-v2.o
  CC [M]  drivers/gpu/drm/panel/panel-lvds.o
  CC [M]  sound/soc/codecs/wcd-clsh-v2.o
  CC [M]  drivers/gpu/drm/panel/panel-simple.o
  CC [M]  sound/soc/codecs/wcd9335.o
  CC [M]  drivers/gpu/drm/panel/panel-edp.o
  CC [M]  drivers/gpu/drm/panel/panel-mantix-mlaf057we51.o
  CC [M]  sound/soc/codecs/wcd934x.o
  CC [M]  drivers/gpu/drm/panel/panel-raydium-rm67191.o
  CC [M]  drivers/gpu/drm/panel/panel-sitronix-st7703.o
  CC [M]  sound/soc/codecs/wcd938x.o
  CC [M]  drivers/gpu/drm/panel/panel-truly-nt35597.o
  CC [M]  drivers/gpu/drm/bridge/cadence/cdns-mhdp8546-core.o
  CC [M]  sound/soc/codecs/wcd938x-sdw.o
  CC [M]  sound/soc/codecs/wm8524.o
  CC [M]  drivers/gpu/drm/bridge/cadence/cdns-mhdp8546-hdcp.o
  CC [M]  sound/soc/codecs/wm8904.o
  LD [M]  drivers/gpu/drm/bridge/cadence/cdns-mhdp8546.o
  CC [M]  drivers/gpu/drm/bridge/synopsys/dw-hdmi.o
  CC [M]  sound/soc/codecs/wm8960.o
  CC [M]  sound/soc/codecs/wm8962.o
  CC [M]  drivers/gpu/drm/bridge/synopsys/dw-hdmi-ahb-audio.o
  CC [M]  sound/soc/codecs/wm8978.o
  CC [M]  drivers/gpu/drm/bridge/synopsys/dw-hdmi-i2s-audio.o
  CC [M]  drivers/gpu/drm/bridge/synopsys/dw-hdmi-cec.o
  CC [M]  sound/soc/codecs/wsa881x.o
  CC [M]  drivers/gpu/drm/bridge/adv7511/adv7511_drv.o
  CC [M]  sound/soc/codecs/simple-amplifier.o
  CC [M]  sound/soc/codecs/lpass-macro-common.o
  CC [M]  drivers/gpu/drm/bridge/adv7511/adv7533.o
  CC [M]  sound/soc/codecs/lpass-wsa-macro.o
  CC [M]  drivers/gpu/drm/bridge/adv7511/adv7511_audio.o
  CC [M]  sound/soc/codecs/lpass-va-macro.o
  CC [M]  drivers/gpu/drm/bridge/adv7511/adv7511_cec.o
  CC [M]  sound/soc/codecs/lpass-rx-macro.o
  LD [M]  drivers/gpu/drm/bridge/adv7511/adv7511.o
  CC [M]  drivers/gpu/drm/bridge/display-connector.o
  CC [M]  drivers/gpu/drm/bridge/lontium-lt8912b.o
  CC [M]  sound/soc/codecs/lpass-tx-macro.o
  CC [M]  drivers/gpu/drm/bridge/lontium-lt9611.o
  CC [M]  sound/soc/codecs/simple-mux.o
  LD [M]  sound/soc/codecs/snd-soc-adau7002.o
  CC [M]  drivers/gpu/drm/bridge/lontium-lt9611uxc.o
  LD [M]  sound/soc/codecs/snd-soc-ak4613.o
  LD [M]  sound/soc/codecs/snd-soc-cros-ec-codec.o
  LD [M]  sound/soc/codecs/snd-soc-dmic.o
  LD [M]  sound/soc/codecs/snd-soc-es7134.o
  LD [M]  sound/soc/codecs/snd-soc-es7241.o
  LD [M]  sound/soc/codecs/snd-soc-gtm601.o
  LD [M]  sound/soc/codecs/snd-soc-max98357a.o
  LD [M]  sound/soc/codecs/snd-soc-max98927.o
  LD [M]  sound/soc/codecs/snd-soc-msm8916-analog.o
  LD [M]  sound/soc/codecs/snd-soc-msm8916-digital.o
  LD [M]  sound/soc/codecs/snd-soc-nau8822.o
  LD [M]  sound/soc/codecs/snd-soc-hdmi-codec.o
  LD [M]  sound/soc/codecs/snd-soc-pcm3168a.o
  LD [M]  sound/soc/codecs/snd-soc-pcm3168a-i2c.o
  LD [M]  sound/soc/codecs/snd-soc-rl6231.o
  LD [M]  sound/soc/codecs/snd-soc-rt5659.o
  LD [M]  sound/soc/codecs/snd-soc-sgtl5000.o
  LD [M]  sound/soc/codecs/snd-soc-spdif-rx.o
  LD [M]  sound/soc/codecs/snd-soc-spdif-tx.o
  LD [M]  sound/soc/codecs/snd-soc-tas571x.o
  LD [M]  sound/soc/codecs/snd-soc-tlv320aic31xx.o
  LD [M]  sound/soc/codecs/snd-soc-tlv320aic32x4.o
  LD [M]  sound/soc/codecs/snd-soc-tlv320aic32x4-i2c.o
  LD [M]  sound/soc/codecs/snd-soc-wcd-mbhc.o
  LD [M]  sound/soc/codecs/snd-soc-wcd9335.o
  LD [M]  sound/soc/codecs/snd-soc-wcd934x.o
  LD [M]  sound/soc/codecs/snd-soc-wcd938x.o
  LD [M]  sound/soc/codecs/snd-soc-wcd938x-sdw.o
  LD [M]  sound/soc/codecs/snd-soc-wm8524.o
  LD [M]  sound/soc/codecs/snd-soc-wm8904.o
  LD [M]  sound/soc/codecs/snd-soc-wm8960.o
  LD [M]  sound/soc/codecs/snd-soc-wm8962.o
  LD [M]  sound/soc/codecs/snd-soc-wm8978.o
  LD [M]  sound/soc/codecs/snd-soc-wsa881x.o
  LD [M]  sound/soc/codecs/snd-soc-simple-amplifier.o
  LD [M]  sound/soc/codecs/snd-soc-lpass-macro-common.o
  LD [M]  sound/soc/codecs/snd-soc-lpass-wsa-macro.o
  LD [M]  sound/soc/codecs/snd-soc-lpass-va-macro.o
  LD [M]  sound/soc/codecs/snd-soc-lpass-rx-macro.o
  LD [M]  sound/soc/codecs/snd-soc-lpass-tx-macro.o
  LD [M]  sound/soc/codecs/snd-soc-simple-mux.o
  CC [M]  sound/soc/generic/simple-card-utils.o
  CC [M]  drivers/gpu/drm/bridge/parade-ps8640.o
  CC [M]  sound/soc/generic/simple-card.o
  CC [M]  drivers/gpu/drm/bridge/sii902x.o
  CC [M]  sound/soc/generic/audio-graph-card.o
  CC [M]  sound/soc/generic/audio-graph-card2.o
  CC [M]  drivers/gpu/drm/bridge/simple-bridge.o
  LD [M]  sound/soc/generic/snd-soc-simple-card-utils.o
  LD [M]  sound/soc/generic/snd-soc-simple-card.o
  LD [M]  sound/soc/generic/snd-soc-audio-graph-card.o
  LD [M]  sound/soc/generic/snd-soc-audio-graph-card2.o
  CC [M]  drivers/gpu/drm/bridge/thc63lvd1024.o
  CC [M]  sound/soc/fsl/fsl_audmix.o
  CC [M]  drivers/gpu/drm/bridge/ti-sn65dsi86.o
  CC [M]  sound/soc/fsl/fsl_asrc.o
  CC [M]  sound/soc/fsl/fsl_asrc_dma.o
  CC [M]  drivers/gpu/drm/bridge/nwl-dsi.o
  CC [M]  sound/soc/fsl/fsl_sai.o
  CC [M]  drivers/gpu/drm/hisilicon/hibmc/hibmc_drm_drv.o
  CC [M]  sound/soc/fsl/fsl_ssi.o
  CC [M]  drivers/gpu/drm/hisilicon/hibmc/hibmc_drm_de.o
  CC [M]  sound/soc/fsl/fsl_ssi_dbg.o
  CC [M]  drivers/gpu/drm/hisilicon/hibmc/hibmc_drm_vdac.o
  CC [M]  sound/soc/fsl/fsl_spdif.o
  CC [M]  drivers/gpu/drm/hisilicon/hibmc/hibmc_drm_i2c.o
  CC [M]  sound/soc/fsl/fsl_esai.o
  LD [M]  drivers/gpu/drm/hisilicon/hibmc/hibmc-drm.o
  CC [M]  drivers/gpu/drm/hisilicon/kirin/kirin_drm_drv.o
  CC [M]  sound/soc/fsl/fsl_micfil.o
  CC [M]  drivers/gpu/drm/hisilicon/kirin/kirin_drm_ade.o
  CC [M]  sound/soc/fsl/fsl_utils.o
  CC [M]  drivers/gpu/drm/hisilicon/kirin/dw_drm_dsi.o
  CC [M]  sound/soc/fsl/fsl_easrc.o
  LD [M]  drivers/gpu/drm/hisilicon/kirin/kirin-drm.o
  CC [M]  drivers/gpu/drm/ttm/ttm_tt.o
  CC [M]  sound/soc/fsl/imx-audmux.o
  CC [M]  drivers/gpu/drm/ttm/ttm_bo.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-audmix.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-asrc.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-sai.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-ssi.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-spdif.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-esai.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-micfil.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-utils.o
  LD [M]  sound/soc/fsl/snd-soc-fsl-easrc.o
  LD [M]  sound/soc/fsl/snd-soc-imx-audmux.o
  CC [M]  sound/soc/sunxi/sun4i-i2s.o
  CC [M]  drivers/gpu/drm/ttm/ttm_bo_util.o
  CC [M]  sound/soc/sunxi/sun4i-spdif.o
  CC [M]  drivers/gpu/drm/ttm/ttm_bo_vm.o
  CC [M]  sound/soc/sunxi/sun8i-codec-analog.o
  CC [M]  drivers/gpu/drm/ttm/ttm_module.o
  CC [M]  sound/soc/sunxi/sun50i-codec-analog.o
  CC [M]  drivers/gpu/drm/ttm/ttm_execbuf_util.o
  CC [M]  sound/soc/sunxi/sun8i-codec.o
  CC [M]  drivers/gpu/drm/ttm/ttm_range_manager.o
  CC [M]  sound/soc/sunxi/sun8i-adda-pr-regmap.o
  CC [M]  drivers/gpu/drm/ttm/ttm_resource.o
  CC [M]  net/802/p8022.o
  CC [M]  drivers/gpu/drm/ttm/ttm_pool.o
  CC [M]  net/802/psnap.o
  CC [M]  drivers/gpu/drm/ttm/ttm_device.o
  CC [M]  net/802/stp.o
  CC [M]  drivers/gpu/drm/ttm/ttm_sys_manager.o
  CC [M]  net/802/garp.o
  LD [M]  drivers/gpu/drm/ttm/ttm.o
  CC [M]  drivers/gpu/drm/scheduler/sched_main.o
  CC [M]  net/802/mrp.o
  CC [M]  drivers/gpu/drm/scheduler/sched_fence.o
  CC [M]  drivers/gpu/drm/scheduler/sched_entity.o
  CC [M]  net/sched/act_gact.o
  LD [M]  drivers/gpu/drm/scheduler/gpu-sched.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/object.o
  CC [M]  net/sched/act_mirred.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/client.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/conn.o
  CC [M]  net/sched/act_gate.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/device.o
  CC [M]  net/sched/sch_ingress.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/disp.o
  CC [M]  net/sched/sch_mqprio.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/driver.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/fifo.o
  CC [M]  net/sched/sch_cbs.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/mem.o
  CC [M]  net/sched/sch_etf.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/mmu.o
  CC [M]  net/sched/sch_taprio.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/notify.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/outp.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/timer.o
  CC [M]  net/sched/cls_basic.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/vmm.o
  CC [M]  net/sched/cls_flower.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/user.o
  CC [M]  drivers/gpu/drm/nouveau/nvif/userc361.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/client.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/engine.o
  CC [M]  net/netfilter/ipvs/ip_vs_conn.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/enum.o
  CC [M]  net/netfilter/ipvs/ip_vs_core.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/event.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/firmware.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/gpuobj.o
  CC [M]  net/netfilter/ipvs/ip_vs_ctl.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/ioctl.o
  CC [M]  drivers/gpu/drm/nouveau/nvkm/core/memory.o
